ville,lat,lon
Sant Hipòlit de Voltregà,42.0152733,2.2376471
Pinell de Solsonès,41.9708511,1.3998691
Oristà,41.9327257,2.0599756
Canyelles,41.2858273,1.7222743
Gaià,41.9160989,1.9255287
Sant Ferriol,42.1868577,2.6783028
Bolvir,42.417885,1.8798183
Alguaire,41.7361463,0.585933
Marçà,41.1281164,0.8006603
Almenar,41.7961026,0.5688317
Madremanya,41.9900799,2.9568764
Nou de Berguedà,42.1666467,1.8850367
Baronia de Rialb,42.020949,1.1923551
Regencós,41.9523563,3.1687852
Sant Julià de Cerdanyola,42.2234097,1.8921354
Granja d'Escarp,41.4191264,0.3523723
Agramunt,41.787076,1.0985119
Torredembarra,41.146155,1.3944433
Saldes,42.2287591,1.7349486
Castellcir,41.7615048,2.1507238
Arboç,41.3389933,1.4625495
Guixers,42.1435607,1.6678083
Vilanova del Camí,41.5714336,1.6361449
Capmany,42.3732813,2.9206405
Saus,42.1319421,2.979009
Ripollet,41.4993372,2.1573095
Avinyonet de Puigventós,42.2499757,2.9145442
Santa Fe del Penedès,41.3844582,1.7209214
Terrades,42.3106341,2.8381619
Tarrés,41.422847,1.0195198
Vilobí del Penedès,41.3875574,1.6632965
Arsèguel,42.3507602,1.5830268
Sales de Llierca,42.2358533,2.6499657
Castellví de Rosanes,41.450038,1.8994527
Sant Martí de Centelles,41.7540904,2.2195762
Bellvei,41.2390234,1.5765198
Benifallet,40.9740568,0.5157716
Pacs del Penedès,41.3615067,1.6698611
Pobla de Segur,42.2753206,0.9873625
Sant Antoni de Vilamajor,41.6735604,2.4012202
Alamús,41.6151049,0.7387323
Portbou,42.4274333,3.1588785
Jafre,42.0726347,3.0107448
Campdevànol,42.2230582,2.1680717
Cava,42.3165817,1.6111497
Garriga,41.3907821,2.165454
Sant Pere de Vilamajor,41.6843288,2.3900497
Pont de Molins,42.3148493,2.9304359
Alins,42.549124,1.3180552
Montmeló,41.5515189,2.2480812
Lliçà d'Amunt,41.6116458,2.2393525
Vidreres,41.7888681,2.7792768
Riba-roja d'Ebre,41.2514635,0.4855561
Torrelles de Llobregat,41.3565232,1.9816276
Torre de Cabdella,42.4223351,0.9821933
Mediona,41.4773943,1.6350185
Morell,39.8639315,3.0576654
Falset,41.1450982,0.8181162
Riera de Gaià,41.1686281,1.3567778
Sant Vicenç de Montalt,41.5787122,2.5103642
Perelló,39.8524107,3.1146996
Juncosa,41.3715158,0.7753498
Renau,41.2249813,1.3098233
Vilobí d'Onyar,41.8882291,2.7423246
Castellvell del Camp,41.1802558,1.0978312
Artés,41.7973321,1.9551567
Celrà,42.0247111,2.8789816
Valls,41.2835355,1.2458562
Albatàrrec,41.5733194,0.6059163
Les,42.8126854,0.7118311
Bellvís,41.6721394,0.8176989
Parlavà,42.022591,3.0304741
Castellnou de Bages,41.8348967,1.8365127
Caseres,41.0394845,0.2497412
Vallfogona de Balaguer,41.7518459,0.8165116
Almoster,41.1960574,1.1111352
Lladorre,42.6209464,1.2494301
Castellfollit del Boix,41.6657331,1.6847457
Palma de Cervelló,41.4018642,1.9605647
